2025-03-04 01:37:52 | Power Usage: 213.41W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 74%
2025-03-04 01:37:52 | Power Usage: 210.62W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 74%
2025-03-04 01:37:52 | Power Usage: 211.38W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 77%
2025-03-04 01:37:52 | Power Usage: 215.05W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 77%
2025-03-04 01:37:52 | Power Usage: 212.4W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 74%
2025-03-04 01:37:53 | Power Usage: 213.89W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 75%
2025-03-04 01:37:53 | Power Usage: 212.43W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 75%
2025-03-04 01:37:53 | Power Usage: 212.09W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 76%
2025-03-04 01:37:53 | Power Usage: 213.12W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 76%
2025-03-04 01:37:53 | Power Usage: 210.85W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 76%
2025-03-04 01:37:53 | Power Usage: 209.37W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 70%
2025-03-04 01:37:53 | Power Usage: 212.19W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 70%
2025-03-04 01:37:53 | Power Usage: 205.51W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 76%
2025-03-04 01:37:54 | Power Usage: 210.64W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 79%
2025-03-04 01:37:54 | Power Usage: 197.38W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 79%
2025-03-04 01:37:54 | Power Usage: 200.27W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 48%
2025-03-04 01:37:54 | Power Usage: 201.72W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 73%
2025-03-04 01:37:54 | Power Usage: 198.83W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 73%
2025-03-04 01:37:54 | Power Usage: 198.12W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 69%
2025-03-04 01:37:54 | Power Usage: 202.63W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 69%
2025-03-04 01:37:54 | Power Usage: 197.18W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 77%
2025-03-04 01:37:55 | Power Usage: 205.56W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 77%
2025-03-04 01:37:55 | Power Usage: 198.55W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 77%
2025-03-04 01:37:55 | Power Usage: 208.33W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 66%
2025-03-04 01:37:55 | Power Usage: 210.31W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 66%
2025-03-04 01:37:55 | Power Usage: 209.41W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 79%
2025-03-04 01:37:55 | Power Usage: 206.05W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 79%
2025-03-04 01:37:55 | Power Usage: 209.46W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 78%
2025-03-04 01:37:55 | Power Usage: 207.21W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 73%
2025-03-04 01:37:55 | Power Usage: 209.41W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 73%
2025-03-04 01:37:56 | Power Usage: 213.59W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 73%
2025-03-04 01:37:56 | Power Usage: 207.15W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 73%
2025-03-04 01:37:56 | Power Usage: 210.03W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 77%
